video_id,title_length,uppercase_count,lowercase_count,special_characters_count,emoji_count,at_tags_count,dominant_color_r,dominant_color_g,dominant_color_b,num_edges,img_entropy,description_length,hashtags_count,urls_count,tags,duration,view_count,like_count
xqXZ6GU9Rfs,49,9,29,2,0,0,5,190,87,15113,[4.541368],802,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft beacon beacon,beacon beacon,tapoin 165 witheriä,jotta,voisin,rakentaa,tämän,minecraft beacon,tapoin witherin,witheri,wither,witheriä,minecraft jyksedi wither,jyksedi beacon",PT11M5S,46418,2749
xqXZ6GU9Rfs,49,9,29,2,0,0,80,93,0,15113,[4.541368],802,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft beacon beacon,beacon beacon,tapoin 165 witheriä,jotta,voisin,rakentaa,tämän,minecraft beacon,tapoin witherin,witheri,wither,witheriä,minecraft jyksedi wither,jyksedi beacon",PT11M5S,46418,2749
xqXZ6GU9Rfs,49,9,29,2,0,0,5,190,87,15113,[4.541368],802,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft beacon beacon,beacon beacon,tapoin 165 witheriä,jotta,voisin,rakentaa,tämän,minecraft beacon,tapoin witherin,witheri,wither,witheriä,minecraft jyksedi wither,jyksedi beacon",PT11M5S,46418,2749
xqXZ6GU9Rfs,49,9,29,2,0,0,5,189,86,15113,[4.541368],802,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft beacon beacon,beacon beacon,tapoin 165 witheriä,jotta,voisin,rakentaa,tämän,minecraft beacon,tapoin witherin,witheri,wither,witheriä,minecraft jyksedi wither,jyksedi beacon",PT11M5S,46418,2749
xqXZ6GU9Rfs,49,9,29,2,0,0,80.17862434819892,137.1525203493348,75.56318097675288,15113,[4.541368],802,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft beacon beacon,beacon beacon,tapoin 165 witheriä,jotta,voisin,rakentaa,tämän,minecraft beacon,tapoin witherin,witheri,wither,witheriä,minecraft jyksedi wither,jyksedi beacon",PT11M5S,46418,2749
xqXZ6GU9Rfs,49,9,29,2,0,0,6,189,87,15113,[4.541368],802,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft beacon beacon,beacon beacon,tapoin 165 witheriä,jotta,voisin,rakentaa,tämän,minecraft beacon,tapoin witherin,witheri,wither,witheriä,minecraft jyksedi wither,jyksedi beacon",PT11M5S,46418,2749
XeNFwPy2OME,42,14,21,3,0,0,1,1,213,11201,[4.5275726],848,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft hard kore,hard kore,tein suuren virheen,tein virheen,virheen,tein,minecraft hardcoressa,nether portaali,portaali,nether,minecraft virhe,minecraft portaali,minecraft netheriin",PT13M13S,47890,2756
XeNFwPy2OME,42,14,21,3,0,0,2,2,132,11201,[4.5275726],848,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft hard kore,hard kore,tein suuren virheen,tein virheen,virheen,tein,minecraft hardcoressa,nether portaali,portaali,nether,minecraft virhe,minecraft portaali,minecraft netheriin",PT13M13S,47890,2756
XeNFwPy2OME,42,14,21,3,0,0,2,2,132,11201,[4.5275726],848,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft hard kore,hard kore,tein suuren virheen,tein virheen,virheen,tein,minecraft hardcoressa,nether portaali,portaali,nether,minecraft virhe,minecraft portaali,minecraft netheriin",PT13M13S,47978,2764
XeNFwPy2OME,42,14,21,3,0,0,2,2,132,11201,[4.5275726],848,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft hard kore,hard kore,tein suuren virheen,tein virheen,virheen,tein,minecraft hardcoressa,nether portaali,portaali,nether,minecraft virhe,minecraft portaali,minecraft netheriin",PT13M13S,47978,2765
XeNFwPy2OME,42,14,21,3,0,0,6,7,9,11201,[4.5275726],848,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft hard kore,hard kore,tein suuren virheen,tein virheen,virheen,tein,minecraft hardcoressa,nether portaali,portaali,nether,minecraft virhe,minecraft portaali,minecraft netheriin",PT13M13S,47980,2765
XeNFwPy2OME,42,14,21,3,0,0,6,6,10,11201,[4.5275726],848,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft hard kore,hard kore,tein suuren virheen,tein virheen,virheen,tein,minecraft hardcoressa,nether portaali,portaali,nether,minecraft virhe,minecraft portaali,minecraft netheriin",PT13M13S,47980,2765
XeNFwPy2OME,42,14,21,3,0,0,6,7,10,11201,[4.5275726],848,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft hard kore,hard kore,tein suuren virheen,tein virheen,virheen,tein,minecraft hardcoressa,nether portaali,portaali,nether,minecraft virhe,minecraft portaali,minecraft netheriin",PT13M13S,47980,2765
XeNFwPy2OME,42,14,21,3,0,0,9,6,6,11143,[4.231368],848,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft hard kore,hard kore,tein suuren virheen,tein virheen,virheen,tein,minecraft hardcoressa,nether portaali,portaali,nether,minecraft virhe,minecraft portaali,minecraft netheriin",PT13M13S,47982,2765
XeNFwPy2OME,42,14,21,3,0,0,138,2,2,11081,[4.7611046],848,3,6,"jyksedi,minecraft suomi,suomi minecraft,jyksedi minecraft,jyksedi hardcore,jyksedi survival,minecraft jyksedi,minecraft sarja,mine,pelikanava,peli,haaste,jyksed,shorts,jyksedi shorts,minecraft hard kore,hard kore,tein suuren virheen,tein virheen,virheen,tein,minecraft hardcoressa,nether portaali,portaali,nether,minecraft virhe,minecraft portaali,minecraft netheriin",PT13M13S,47982,2765
